JarakAntarKota
0 ,102.2668 ,80.13701 ,55.92727 ,15.65229 ,35.79768 ,61.52141 ,70.33136 ,58.64887 ,
102.2668 ,0 ,49.49546 ,82.05804 ,91.63618 ,69.10738 ,57.05453 ,36.29325 ,46.09132 ,
80.13701 ,49.49546 ,0 ,37.66431 ,65.19778 ,61.14597 ,70.03242 ,52.25361 ,29.75785 ,
55.92727 ,82.05804 ,37.66431 ,0 ,40.55868 ,55.83517 ,77.44493 ,68.79652 ,41.28692 ,
15.65229 ,91.63618 ,65.19778 ,40.55868 ,0 ,31.6 ,58.9 ,62.82544 ,46.28962 ,
35.79768 ,69.10738 ,61.14597 ,55.83517 ,31.6 ,0 ,27.3 ,34.97306 ,32.39396 ,
61.52141 ,57.05453 ,70.03242 ,77.44493 ,58.9 ,27.3 ,0 ,21.85921 ,41.38549 ,
70.33136 ,36.29325 ,52.25361 ,68.79652 ,62.82544 ,34.97306 ,21.85921 ,0 ,27.8548 ,
58.64887 ,46.09132 ,29.75785 ,41.28692 ,46.28962 ,32.39396 ,41.38549 ,27.8548 ,0 ,

